Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CC0402JRNPO0BN3R9;;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;;100.0;3.9 pF;±5%;;;0.55;;;;;;;;;;;;;Paper/PE Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402JRNPO0BN3R9;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_24.pdf;;
CC0603GRNPO0BN5R0;;;General Purpose;CC MV;General purpose midle voltage;0603 (1608);NPO;;100.0;5 pF;±2%;;;0.9;;;;;;;;;;;;;Paper/PE Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0603GRNPO0BN5R0;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_24.pdf;;
CC0603FRNPO0BN103;0603_170_090_090_060_050.STEP;;General Purpose;CC MV;General purpose midle voltage;0603 (1608);NPO;-55 to +125°C;100.0;10 nF;±1%;1.60 ±0.10;0.80 ±0.10;0.80 ±0.10;0.20~0.60;0.4;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0.0;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0603FRNPO0BN103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0603FRNPOYBN270;0603_170_090_090_060_050.STEP;;General Purpose;CC MV;General purpose midle voltage;0603 (1608);NPO;-55 to +125°C;250.0;27 pF;±1%;1.60 ±0.10;0.80 ±0.10;0.80 ±0.10;0.20~0.60;0.4;;;;0.11%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0.0;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0603FRNPOYBN270;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN151;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200.0;150 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN151;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN221;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200.0;220 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN331;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200.0;330 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN331;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN471;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200.0;470 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN471;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN681;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200.0;680 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN681;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOYBN102;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;250.0;1 nF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOYBN102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOYBN221;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;250.0;220 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOYBN221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOYBN331;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;250.0;330 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOYBN331;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOYBN471;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;250.0;470 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0.0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOYBN471;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC1206GRNPOABN271;1206_335_175_070_075_185.STEP;;General Purpose;CC MV;General purpose midle voltage;1206 (3216);NPO;-55 to +125°C;200.0;270 pF;±2%;3.20 ±0.15;1.60 ±0.15;0.60 ±0.10;0.25~0.75;1.4;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0.0;0.02260 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC1206GRNPOABN271;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC1206JPNPOABN101;1206_335_175_070_075_185.STEP;;General Purpose;CC MV;General purpose midle voltage;1206 (3216);NPO;-55 to +125°C;200.0;100 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.60 ±0.10;0.25~0.75;1.4;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 13 inch;0.0;0.02260 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC1206JPNPOABN101;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC1812KKX7R0BB394;;;General Purpose;CC MV;General purpose midle voltage;1812 (4532);X7R;;100.0;390 nF;±10%;;;1.8;;;;;;;;;;;;;Embossed Plastic Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC1812KKX7R0BB394;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_24.pdf;;
CC0201BRNPO0BN1R0;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;1.0 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.24%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201BRNPO0BN1R0;;;
CC0201BRNPO0BN2R2;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;2.2 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201BRNPO0BN2R2;;;
CC0201BRNPO0BN3R0;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;3.0 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201BRNPO0BN3R0;;;
CC0201BRNPO0BN3R5;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;3.5 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.21%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201BRNPO0BN3R5;;;
CC0201BRNPO0BN4R7;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;4.7 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201BRNPO0BN4R7;;;
CC0201BRNPO0BN5R0;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;5 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201BRNPO0BN5R0;;;
CC0201BRNPO0BNR80;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;0.8 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.24%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201BRNPO0BNR80;;;
CC0201CRNPO0BN5R0;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;5 pF;±0.25pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201CRNPO0BN5R0;;;
CC0201GRNPO0BN120;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;12 pF;±2%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.16%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201GRNPO0BN120;;;
CC0201GRNPO0BN180;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;18 pF;±2%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.13%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201GRNPO0BN180;;;
CC0201GRNPO0BN470;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;47 pF;±2%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201GRNPO0BN470;;;
CC0201JRNPO0BN100;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;10 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.17%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201JRNPO0BN100;;;
CC0201JRNPO0BN101;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;100 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201JRNPO0BN101;;;
CC0201JRNPO0BN120;0201_063_033_033_020_023.STEP;;General Purpose;CC MV;General purpose midle voltage;0201 (0603);NPO;-55 to +125°C;100.0;12 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.16%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201JRNPO0BN120;;;
CC0402CRNPO0BN1R0;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;1.0 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.24%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN1R0;;;
CC0402CRNPO0BN1R2;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;1.2 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.24%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN1R2;;;
CC0402CRNPO0BN1R5;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;1.5 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN1R5;;;
CC0402CRNPO0BN1R8;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;1.8 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN1R8;;;
CC0402CRNPO0BN2R2;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;2.2 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN2R2;;;
CC0402CRNPO0BN3R3;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;3.3 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.21%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN3R3;;;
CC0402CRNPO0BN3R9;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;3.9 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.21%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN3R9;;;
CC0402CRNPO0BN4R7;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;4.7 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN4R7;;;
CC0402CRNPO0BN5R6;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;5.6 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN5R6;;;
CC0402CRNPO0BN6R8;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;6.8 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.19%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN6R8;;;
CC0402CRNPO0BN8R2;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;8.2 pF;±0.25pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.18%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO0BN8R2;;;
CC0402DRNPO0BN5R6;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;5.6 pF;±0.5pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402DRNPO0BN5R6;;;
CC0402DRNPO0BN8R0;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;8.0 pF;±0.5pF;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.18%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402DRNPO0BN8R0;;;
CC0402FRNPO0BN101;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;100 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO0BN101;;;
CC0402FRNPO0BN150;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;15 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.14%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO0BN150;;;
CC0402FRNPO0BN151;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;150 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO0BN151;;;
CC0402FRNPO0BN180;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;18 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.13%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO0BN180;;;
CC0402FRNPO0BN220;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;22 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.12%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO0BN220;;;
CC0402FRNPO0BN221;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;220 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO0BN221;;;
CC0402FRNPO0BN270;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;27 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.11%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO0BN270;;;
CC0402FRNPO0BN330;0402_105_055_055_035_035.STEP;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;-55 to +125°C;100.0;33 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO0BN330;;;
